"tipo_pista","fase_dia","total_acidentes","acidentes_fatais","total_mortos","perc_fatais","cobertura_total"
"M�ltipla","Pleno dia","4025","117","120","2.91","5.55"
"Dupla","Pleno dia","17585","558","608","3.17","24.25"
"Dupla","Anoitecer","1642","63","64","3.84","2.26"
"M�ltipla","Anoitecer","363","14","14","3.86","0.5"
"M�ltipla","Plena Noite","2356","136","145","5.77","3.25"
"M�ltipla","Amanhecer","270","18","18","6.67","0.37"
"Simples","Pleno dia","18765","1374","1663","7.32","25.87"
"Dupla","Amanhecer","1374","104","117","7.57","1.89"
"Dupla","Plena Noite","10181","776","814","7.62","14.04"
"Simples","Anoitecer","1921","176","210","9.16","2.65"
"Simples","Plena Noite","12244","1610","1933","13.15","16.88"
"Simples","Amanhecer","1803","264","337","14.64","2.49"
